id,title,description,availability,condition,price,link,image_link,brand
eb-317607391969,Liquid Blue VTG 1993 AOP Skull Tee Shirt XL Single Stitch Grail,"Liquid Blue VTG 1993 AOP Skull Tee Shirt XL Single Stitch Grail Condition:Vintage. Good used condition. Minor pilling and fading to fabric. Print shows wear, cracking, and fading consistent with age. No major rips or stains. Size/Dimensions:XL Material:100% Cotton Features:All-over print graphic, Skull design, Snake skeletons, Orange eyes, Single stitch construction Model/Style:AOP Skull Tee, Fantasy Apparel, Grail Shirt Measurements: Chest: 23 1/2"" vintage",in stock,used,95.00 USD,https://www.vintageclosetpdx.com/product.html?id=eb-317607391969&slug=liquid-blue-vtg-1993-aop-skull-tee-shirt-xl-single-stitch-grail,https://i.ebayimg.com/images/g/NXUAAeSwGSZpLK6x/s-l1600.jpg,Liquid Blue
JKT-2201,VTG Carhartt Faded Red Bomber Hooded Jacket Distressed XL Rare,"Model/Style:Washed Duck Active Jacket J130 Bomber Hooded. Material:Heavy Duck Canvas (100% Cotton), Quilted Lining (Polyester/Nylon).",in stock,used,140.00 USD,https://www.vintageclosetpdx.com/product.html?id=eb-317663062201&slug=vtg-carhartt-faded-red-bomber-hooded-jacket-distressed-xl-rare,https://i.ebayimg.com/images/g/szcAAeSwRw5pQLT9/s-l400.jpg,Carhartt
JKT-7766,Vintage 90s Aphex Twin Off-White Graphic Tee Small Mens Medium Rare,Item description from the seller,in stock,used,250.00 USD,https://www.vintageclosetpdx.com/product.html?id=eb-317705257766&slug=vintage-90s-aphex-twin-off-white-graphic-tee-small-mens-medium-rare,https://i.ebayimg.com/images/g/o9kAAeSwlklpUIHk/s-l1600.jpg,The Vintage Closet PDX
JKT-9857,Signal Los Angeles Lakers 1987 World Champs VTG Graphic Tee Mens Medium Single Stitch,"Vintage condition with visible wear and creasing consistent with age. Signal Los Angeles Lakers 1987 World Champs graphic tee, single stitch, men's medium.",in stock,used,40.00 USD,https://www.vintageclosetpdx.com/product.html?id=eb-317705309857&slug=signal-los-angeles-lakers-1987-world-champs-vtg-graphic-tee-mens-medium-single-stitch,https://i.ebayimg.com/images/g/ihoAAeSw7oBpUIUi/s-l1600.webp,The Vintage Closet PDX
TEE-2609,Vintage 90s Levi's 501 Button Your Fly Graphic T-Shirt White Large,Vintage 90s Levi's 501 Button Your Fly graphic tee in white. Single stitch construction. Classic 90s Levi's promo shirt.,in stock,used,35.00 USD,https://www.vintageclosetpdx.com/product.html?id=eb-318075242609&slug=vintage-90s-levis-501-button-your-fly-graphic-t-shirt-white-large,https://i.ebayimg.com/images/g/6ucAAeSwXXlpyM4C/s-l1600.webp,Levi's
CRW-9685,Vintage 80s Abercrombie & Fitch Wool Crest Sweater Navy Red Medium,Vintage 80s Abercrombie & Fitch wool crest pullover sweater in navy/red. Embroidered crest detail. Made in Hong Kong. Tight-knit heavyweight wool.,in stock,used,40.00 USD,https://www.vintageclosetpdx.com/product.html?id=eb-318075249685&slug=vintage-80s-abercrombie-fitch-wool-crest-sweater-navy-red-medium,https://i.ebayimg.com/images/g/82gAAeSwuTxpyM8R/s-l1600.webp,The Vintage Closet PDX
TEE-1253,Vintage 1991 Harley-Davidson 3D Emblem Eagle T-Shirt XL Electra Glide,Vintage 1991 Harley-Davidson 3D Emblem Eagle graphic tee. Electra Glide. Black. Made in USA. Single stitch.,in stock,used,100.00 USD,https://www.vintageclosetpdx.com/product.html?id=eb-318075241253&slug=vintage-1991-harley-davidson-3d-emblem-eagle-t-shirt-xl-electra-glide,https://i.ebayimg.com/images/g/Kx0AAeSwucRpyM2U/s-l1600.webp,Harley-Davidson
JKT-9613,Vintage The North Face Yellow Full Zip Fleece Jacket Mens XL,Vintage The North Face Mens XL Yellow Full Zip Fleece Jacket,in stock,used,60.00 USD,https://www.vintageclosetpdx.com/product.html?id=eb-318075239613&slug=vintage-the-north-face-yellow-full-zip-fleece-jacket-mens-xl,https://i.ebayimg.com/images/g/Xs0AAeSwJQ1pyM0-/s-l1600.webp,The North Face
CRW-7228,Vintage 80s Soffe Sweats Navy Blue Crewneck Sweatshirt Large Made in USA,Vintage 80s Soffe Sweats navy blue crewneck sweatshirt. Large. Made in USA. Heavyweight cotton blend fleece. Classic blank vintage crewneck.,in stock,used,30.00 USD,https://www.vintageclosetpdx.com/product.html?id=eb-318075237228&slug=vintage-80s-soffe-sweats-navy-blue-crewneck-sweatshirt-large-made-in-usa,https://i.ebayimg.com/images/g/3cYAAeSw~ZdpyMzJ/s-l1600.webp,The Vintage Closet PDX
TEE-3837,Vintage 1990s Morrissey The Smiths Band Tee Grail Lyric Shirt Mens Large,"Vintage 1990s Morrissey / The Smiths band tee. White. Mens Large. Made in El Salvador. Classic lyric graphic, double-sided. Grail.",in stock,used,80.00 USD,https://www.vintageclosetpdx.com/product.html?id=eb-317778053837&slug=vintage-1990s-morrissey-the-smiths-band-tee-grail-lyric-shirt-mens-large,https://i.ebayimg.com/images/g/aN8AAeSwLplpbdem/s-l1600.webp,The Vintage Closet PDX
TEE-4765,Vintage 2008 Z100 Jingle Ball Long Sleeve Tee Kanye West Lady Gaga Rihanna Medium,"Vintage 2008 Z100 Jingle Ball long sleeve graphic tee. Features Kanye West, Lady Gaga, Rihanna. Black. Medium. Double-sided print. Made in Mexico.",in stock,used,60.00 USD,https://www.vintageclosetpdx.com/product.html?id=eb-318075244765&slug=vintage-2008-z100-jingle-ball-long-sleeve-tee-kanye-west-lady-gaga-rihanna-medium,https://i.ebayimg.com/images/g/abkAAeSww7FpyM5z/s-l1600.webp,The Vintage Closet PDX
JKT-1148,Vintage 80s Carhartt J01 Detroit Jacket Paint Splatter Workwear Size 44 Large,Vintage 80s Carhartt J01 Detroit jacket in black with paint splatter. Size 44 Large. Made in USA. Polyester lined canvas shell. Classic workwear grail.,in stock,used,185.00 USD,https://www.vintageclosetpdx.com/product.html?id=eb-318050391148&slug=vintage-80s-carhartt-j01-detroit-jacket-paint-splatter-workwear-size-44-large,https://i.ebayimg.com/images/g/FiEAAeSwOyxpwfRc/s-l1600.webp,Carhartt
